instant,dteday,season,yr,mnth,holiday,weekday,workingday,weathersit,temp,atemp,hum,windspeed,casual,registered,cnt
1,1/1/2011,1,0,1,0,6,0,2,6,6,0.805833,0.160446,331,654,5.88
2,1/2/2011,1,0,1,0,0,0,2,14,14,0.696087,0.248539,131,670,18.64
3,1/3/2011,1,0,1,0,1,1,1,14,14,0.437273,0.248309,120,1229,18.64
4,1/4/2011,1,0,1,0,2,1,1,14,14,0.590435,0.160296,108,1454,18.64
5,1/5/2011,1,0,1,0,3,1,1,14,14,0.436957,0.1869,82,1518,18.64
6,1/6/2011,1,0,1,0,4,1,1,14,14,0.518261,0.0895652,88,1518,18.64
7,1/7/2011,1,0,1,0,5,1,2,14,14,0.498696,0.168726,148,1362,18.64
8,1/8/2011,1,0,1,0,6,0,2,14,14,0.535833,0.266804,68,891,18.64
9,1/9/2011,1,0,1,0,0,0,1,14,14,0.434167,0.36195,54,768,18.64
10,1/10/2011,1,0,1,0,1,1,1,14,14,0.482917,0.223267,41,1280,18.64
11,1/11/2011,1,0,1,0,2,1,2,14,14,0.686364,0.122132,43,1220,18.64
12,1/12/2011,1,0,1,0,3,1,1,14,14,0.599545,0.304627,25,1137,18.64
13,1/13/2011,1,0,1,0,4,1,1,14,14,0.470417,0.301,38,1368,18.64
14,1/14/2011,1,0,1,0,5,1,1,14,14,0.537826,0.126548,54,1367,18.64
15,1/15/2011,1,0,1,0,6,0,2,14,14,0.49875,0.157963,222,1026,18.64
16,1/16/2011,1,0,1,0,0,0,1,14,14,0.48375,0.188433,251,953,18.64
17,1/17/2011,1,0,1,1,1,0,2,14,14,0.5375,0.194017,117,883,18.64
18,1/18/2011,1,0,1,0,2,1,2,14,14,0.861667,0.146775,9,674,18.64
19,1/19/2011,1,0,1,0,3,1,2,14,14,0.741739,0.208317,78,1572,18.64
20,1/20/2011,1,0,1,0,4,1,2,14,14,0.538333,0.195904,83,1844,18.64
21,1/21/2011,1,0,1,0,5,1,1,14,14,0.457083,0.353242,75,1468,18.64
22,1/22/2011,1,0,1,0,6,0,1,14,14,0.4,0.17197,93,888,18.64
23,1/23/2011,1,0,1,0,0,0,1,14,14,0.436522,0.2466,150,836,18.64
24,1/24/2011,1,0,1,0,1,1,1,14,14,0.491739,0.15833,86,1330,18.64
25,1/25/2011,1,0,1,0,2,1,2,14,14,0.616957,0.129796,186,1799,18.64
26,1/26/2011,1,0,1,0,3,1,3,14,14,0.8625,0.29385,34,472,18.64
27,1/27/2011,1,0,1,0,4,1,1,14,14,0.6875,0.113837,15,416,18.64
28,1/28/2011,1,0,1,0,5,1,2,14,14,0.793043,0.1233,38,1129,18.64
29,1/29/2011,1,0,1,0,6,0,1,14,14,0.651739,0.145365,123,975,18.64
30,1/30/2011,1,0,1,0,0,0,1,14,14,0.722174,0.0739826,140,956,18.64
31,1/31/2011,1,0,1,0,1,1,2,14,14,0.60375,0.187192,42,1459,18.64
32,2/1/2011,1,0,2,0,2,1,2,14,14,0.829565,0.053213,47,1313,18.64
33,2/2/2011,1,0,2,0,3,1,2,14,14,0.775417,0.264308,72,1454,18.64
34,2/3/2011,1,0,2,0,4,1,1,14,14,0.437826,0.277752,61,1489,18.64
35,2/4/2011,1,0,2,0,5,1,2,14,14,0.585217,0.127839,88,1620,18.64
36,2/5/2011,1,0,2,0,6,0,2,14,14,0.929167,0.161079,100,905,18.64
37,2/6/2011,1,0,2,0,0,0,1,14,14,0.568333,0.1418,354,1269,18.64
38,2/7/2011,1,0,2,0,1,1,1,14,14,0.738333,0.0454083,120,1592,18.64
39,2/8/2011,1,0,2,0,2,1,1,14,14,0.537917,0.36195,64,1466,18.64
40,2/9/2011,1,0,2,0,3,1,2,14,14,0.494783,0.188839,53,1552,18.64
41,2/10/2011,1,0,2,0,4,1,1,14,14,0.437391,0.221935,47,1491,18.64
42,2/11/2011,1,0,2,0,5,1,1,14,14,0.506364,0.10855,149,1597,18.64
43,2/12/2011,1,0,2,0,6,0,1,14,14,0.544167,0.203367,288,1184,18.64
44,2/13/2011,1,0,2,0,0,0,1,14,14,0.457391,0.260883,397,1192,18.64
45,2/14/2011,1,0,2,0,1,1,1,14,14,0.375833,0.417908,208,1705,18.64
46,2/15/2011,1,0,2,0,2,1,1,14,14,0.314348,0.291374,140,1675,18.64
47,2/16/2011,1,0,2,0,3,1,1,14,14,0.423478,0.251791,218,1897,18.64
48,2/17/2011,1,0,2,0,4,1,1,14,14,0.505,0.230104,259,2216,18.64
49,2/18/2011,1,0,2,0,5,1,1,14,14,0.516667,0.264925,579,2348,18.64
